nohup: ignoring input
Epoch: 108, Loss D: 0.5412050485610962, Loss G: 0.899424135684967, MMD: 0.0625, EMD: 0.08612594155404307, GPU Memory: 407/8192 MiB, GPU Utilization: 16%
Epoch: 109, Loss D: 0.6039597988128662, Loss G: 0.8613072633743286, MMD: 0.0625, EMD: 0.10469377121400185, GPU Memory: 407/8192 MiB, GPU Utilization: 17%
Epoch: 110, Loss D: 0.619752049446106, Loss G: 0.9065676927566528, MMD: 0.0625, EMD: 0.08848635960592274, GPU Memory: 407/8192 MiB, GPU Utilization: 10%
Epoch: 111, Loss D: 0.5442423820495605, Loss G: 1.1940244436264038, MMD: 0.0625, EMD: 0.09773673971881412, GPU Memory: 407/8192 MiB, GPU Utilization: 27%
Epoch: 112, Loss D: 0.5321609377861023, Loss G: 1.2292256355285645, MMD: 0.0625, EMD: 0.08438896334417928, GPU Memory: 407/8192 MiB, GPU Utilization: 17%
Epoch: 113, Loss D: 0.5095468759536743, Loss G: 1.0601954460144043, MMD: 0.0625, EMD: 0.09002085484074282, GPU Memory: 407/8192 MiB, GPU Utilization: 19%
Epoch: 114, Loss D: 0.5319802761077881, Loss G: 1.0710809230804443, MMD: 0.0625, EMD: 0.09409847621842295, GPU Memory: 407/8192 MiB, GPU Utilization: 13%
Epoch: 115, Loss D: 0.49052077531814575, Loss G: 1.368680477142334, MMD: 0.0625, EMD: 0.08586432805141413, GPU Memory: 407/8192 MiB, GPU Utilization: 13%
Epoch: 116, Loss D: 0.5948848724365234, Loss G: 0.9719300270080566, MMD: 0.06251759827136993, EMD: 0.0888981907788195, GPU Memory: 407/8192 MiB, GPU Utilization: 22%
Epoch: 117, Loss D: 0.6354463696479797, Loss G: 1.1256624460220337, MMD: 0.0625, EMD: 0.09475940904543009, GPU Memory: 407/8192 MiB, GPU Utilization: 11%
Epoch: 118, Loss D: 0.6172760128974915, Loss G: 0.9599348902702332, MMD: 0.0625, EMD: 0.08766686669238244, GPU Memory: 407/8192 MiB, GPU Utilization: 13%
