nohup: ignoring input
Epoch: 58, Loss D: 0.5371087193489075, Loss G: 1.010434627532959, MMD: 0.0625, EMD: 0.08289592912053209, GPU Memory: 207/8192 MiB, GPU Utilization: 5%, GPU Temperature: 54°C
Epoch: 59, Loss D: 0.5869520902633667, Loss G: 0.9290432333946228, MMD: 0.0625, EMD: 0.08866255200060708, GPU Memory: 207/8192 MiB, GPU Utilization: 6%, GPU Temperature: 54°C
Epoch: 60, Loss D: 0.5741255879402161, Loss G: 1.104089617729187, MMD: 0.0625, EMD: 0.0810350116285994, GPU Memory: 207/8192 MiB, GPU Utilization: 8%, GPU Temperature: 54°C
Epoch: 61, Loss D: 0.6504473686218262, Loss G: 0.9153298139572144, MMD: 0.0625, EMD: 0.07291040409108045, GPU Memory: 207/8192 MiB, GPU Utilization: 6%, GPU Temperature: 54°C
Epoch: 62, Loss D: 0.6490881443023682, Loss G: 1.031033992767334, MMD: 0.0625, EMD: 0.08374417584018234, GPU Memory: 207/8192 MiB, GPU Utilization: 5%, GPU Temperature: 54°C
Epoch: 63, Loss D: 0.6158221364021301, Loss G: 0.9112287759780884, MMD: 0.0625, EMD: 0.07964424116405831, GPU Memory: 207/8192 MiB, GPU Utilization: 2%, GPU Temperature: 54°C
Epoch: 64, Loss D: 0.6864582300186157, Loss G: 0.8803938627243042, MMD: 0.0625, EMD: 0.0821543430986622, GPU Memory: 207/8192 MiB, GPU Utilization: 3%, GPU Temperature: 54°C
Epoch: 65, Loss D: 0.6392982006072998, Loss G: 0.9919503331184387, MMD: 0.0625, EMD: 0.07361788456419813, GPU Memory: 207/8192 MiB, GPU Utilization: 1%, GPU Temperature: 54°C
Epoch: 66, Loss D: 0.6569594144821167, Loss G: 1.0755650997161865, MMD: 0.0625, EMD: 0.08543663011071505, GPU Memory: 207/8192 MiB, GPU Utilization: 4%, GPU Temperature: 54°C
Epoch: 67, Loss D: 0.693074107170105, Loss G: 0.7583813667297363, MMD: 0.062499985098838806, EMD: 0.0760189960504293, GPU Memory: 207/8192 MiB, GPU Utilization: 1%, GPU Temperature: 54°C
Epoch: 68, Loss D: 0.6940761804580688, Loss G: 0.9020742774009705, MMD: 0.0625, EMD: 0.09488561053749389, GPU Memory: 207/8192 MiB, GPU Utilization: 1%, GPU Temperature: 54°C
Epoch: 69, Loss D: 0.625146746635437, Loss G: 0.8834385871887207, MMD: 0.0625, EMD: 0.08166651147852654, GPU Memory: 207/8192 MiB, GPU Utilization: 2%, GPU Temperature: 54°C
Epoch: 70, Loss D: 0.6285312175750732, Loss G: 1.047477126121521, MMD: 0.0625, EMD: 0.09215491720233471, GPU Memory: 207/8192 MiB, GPU Utilization: 3%, GPU Temperature: 54°C
Epoch: 71, Loss D: 0.678356409072876, Loss G: 0.881496012210846, MMD: 0.0625, EMD: 0.08449900867918582, GPU Memory: 207/8192 MiB, GPU Utilization: 1%, GPU Temperature: 54°C
Epoch: 72, Loss D: 0.6404986381530762, Loss G: 0.99760502576828, MMD: 0.0625, EMD: 0.08243182691571097, GPU Memory: 207/8192 MiB, GPU Utilization: 7%, GPU Temperature: 54°C
Epoch: 73, Loss D: 0.695425271987915, Loss G: 0.8112303018569946, MMD: 0.0625, EMD: 0.08913299961146405, GPU Memory: 207/8192 MiB, GPU Utilization: 7%, GPU Temperature: 54°C
Epoch: 74, Loss D: 0.6496779918670654, Loss G: 0.7961158752441406, MMD: 0.0625, EMD: 0.08308082537310069, GPU Memory: 207/8192 MiB, GPU Utilization: 6%, GPU Temperature: 54°C
Epoch: 75, Loss D: 0.7315859794616699, Loss G: 0.7321186661720276, MMD: 0.0625, EMD: 0.08012401327247591, GPU Memory: 207/8192 MiB, GPU Utilization: 2%, GPU Temperature: 54°C
Epoch: 76, Loss D: 0.5827751159667969, Loss G: 1.0299028158187866, MMD: 0.0625, EMD: 0.07402208247538984, GPU Memory: 207/8192 MiB, GPU Utilization: 6%, GPU Temperature: 54°C
Epoch: 77, Loss D: 0.7124388217926025, Loss G: 0.8741447925567627, MMD: 0.062499966472387314, EMD: 0.07993083975143886, GPU Memory: 207/8192 MiB, GPU Utilization: 7%, GPU Temperature: 54°C
